soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,popcorn,specialty chocolate,specialty bar,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,processed cheese,rolls/buns,pastry,coffee,cake bar,newspapers,,,,,,,,,,,,,,,,,,
sausage,meat,grapes,other vegetables,yogurt,soft cheese,domestic eggs,rolls/buns,margarine,soda,chocolate,,,,,,,,,,,,,,,,,,,,,
root vegetables,margarine,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,cake bar,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,sliced cheese,frozen dessert,rolls/buns,pastry,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,
turkey,tropical fruit,pip fruit,root vegetables,other vegetables,curd,butter milk,yogurt,curd cheese,rice,vinegar,margarine,,,,,,,,,,,,,,,,,,,,
beverages,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,spices,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pork,hamburger meat,tropical fruit,pip fruit,whole milk,yogurt,sliced cheese,frozen vegetables,white bread,dog food,coffee,bottled water,fruit/vegetable juice,long life bakery product,specialty chocolate,specialty bar,chocolate marshmallow,hygiene articles,pot plants,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,beef,whole milk,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,liquor (appetizer),salty snack,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,frozen vegetables,frozen dessert,soups,soda,napkins,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white wine,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat food,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,chicken,turkey,beef,onions,whole milk,butter,frozen potato products,domestic eggs,pastry,salt,sugar,jam,coffee,,,,,,,,,,,,,,,,,,
